X,Y,OBJECTID,DFGCONTROL,OESNUMBER,DATEOFINCI,TIMEOFINCI,INLANDMARI,SPECIFICLO,WATER,WATERWAY,LOCALECITY,LOCALECOUN,LATITUDE,LONGITUDE
-13524300.79,4543501.131,1,08FG1315,Aug-66,2008/04/04 00:00:00+00,1100,Marine,Marine,Yes,Pacific Ocean,San Francisco,San Francisco,37.74525,-121.490848
-12757589.62,3864463.583,2,08FG0798,08-1391,2008/02/17 00:00:00+00,632,Inland,Fresh Water,Yes,Yuma Main Canal that leads to Colorado River,Winterhaven,Imperial,32.767341,-114.603366
-12843146.68,3909102.142,3,08FG3355,Aug-20,2008/10/16 00:00:00+00,1737,Inland,Fresh Water,Yes,irrigation ditch,Calapatria,Imperial,33.103888,-115.371938
-12849171.29,3869393.842,4,08FG3531,Aug-79,2008/10/30 00:00:00+00,1700,Inland,Fresh Water,Yes,Irrigation Drain that leads to Salton Sea,Holtville,Imperial,32.804575,-115.426058
-12860216.33,4227660.639,5,08FG2139,Aug-40,2008/06/22 00:00:00+00,449,Inland,Fresh Water,Yes,"Drainage Ditch, runs to a seaonal gulley, currentl",Mountain Pass,San Bernardino,35.467972,-115.525277
-12935284.95,3843893.479,6,08FG3543,Aug-18,2008/11/02 00:00:00+00,830,Inland,Fresh Water,Yes,Goat Canyon,San Diego,San Diego,32.611825,-116.19963
-12946068.14,3991357.547,7,08FG3749,Aug-01,2008/11/27 00:00:00+00,1210,Inland,Fresh Water,Yes,Coachella Valley Storm Water Channel,La Quinta,Riverside,33.720675,-116.296497
-12971603.62,4004494.745,8,08FG4063,Aug-75,2008/12/27 00:00:00+00,1230,Inland,Fresh Water,Yes,Storm Drain,Unincorporated,Riverside,33.818777,-116.525886
-13008458.94,3866402.112,9,08FG0608,08-1011,2008/02/01 00:00:00+00,1930,Inland,Fresh Water,Yes,storm drain/Sweetwater River,El Cajon,San Diego,32.781983,-116.856963
-13009697.71,4018068.241,10,08FG2858,Aug-28,2008/08/29 00:00:00+00,1200,Inland,Fresh Water,Yes,storm drain,Banning,Riverside,33.920019,-116.868091
-13010596.94,3900639.439,11,08FG0530,08-0870,2008/01/28 00:00:00+00,1230,Inland,Fresh Water,Yes,Storm Drain,Ramona,San Diego,33.040183,-116.876169
-13012301.35,3858637.936,12,08FG3551,Aug-38,2008/11/07 00:00:00+00,1254,Inland,Fresh Water,Yes,Drive Rver Bed,Jamul,San Diego,32.723325,-116.89148
-13014558.36,4018818.697,13,08FG3342,Aug-90,2008/10/16 00:00:00+00,1400,Inland,Fresh Water,Yes,Storm Drain,Banning,Riverside,33.925613,-116.911755
-13016183.97,4062115.483,14,08FG2266,Aug-33,2008/07/05 00:00:00+00,600,Inland,Fresh Water,Yes,Big Bear Lake,Big Bear Lake,San Bernardino,34.24773,-116.926358
-13018149.65,4089378.497,15,08FG0164,08-0239,2008/01/03 00:00:00+00,1400,Inland,Fresh Water,Yes,Unnamed Stream,Lucerne Valley,San Bernardino,34.44993,-116.944016
-13018473.14,4019512.718,16,08FG3632,Aug-35,2008/11/15 00:00:00+00,1800,Inland,Fresh Water,Yes,storm drain to Temescal Canyon,Beaumont,Riverside,33.930786,-116.946922
-13018479.59,4018966.004,17,08FG0739,08-1276,2008/02/10 00:00:00+00,1040,Inland,Fresh Water,Yes,Storm Channel,Beaumont,Riverside,33.926711,-116.94698
-13019047.33,4060736.281,18,08FG2259,Aug-18,2008/07/03 00:00:00+00,915,Inland,Fresh Water,Yes,Big Bear Lake,Big Bear Lake,San Bernardino,34.237488,-116.95208
-13019692.08,3895499.19,19,08FG1242,Aug-86,2008/03/28 00:00:00+00,230,Inland,Fresh Water,Yes, ,Poway,San Diego,33.001466,-116.957872
-13020852.58,3861520.215,20,08FG3813,Aug-34,2008/12/03 00:00:00+00,1057,Inland,Fresh Water,Yes,Storm Drain,Spring Valley,San Diego,32.745105,-116.968297
